Symbol,Name,Latest,Change,%Change,Volume,"3M #Hi","3M %/High","3M %/Low",Time
GTX,"Garrett Motion Inc",27.18,1.04,+3.98%,2844300,8,-0.62%,+61.54%,"15:28 ET"
GVA,"Granite Construction Incorporated",142.52,0.86000000000001,+0.61%,314358,12,-1.61%,+24.19%,"15:26 ET"
HASI,"Ha Sustainable Infrastructure Capital Inc",43.28,0.31,+0.72%,428776,18,-0.82%,+23.76%,"15:29 ET"
HBIO,"Harvard Bioscience",7.36,0.73,+11.01%,113167,4,-2.67%,+82.50%,"15:24 ET"
HCHL,"Happy City Holdings Limited Cl A",1.87,-0.33,-15.00%,127077,21,-23.67%,+128.05%,"14:46 ET"
HELE,"Helen of Troy Ltd",25.68,1.78,+7.45%,716978,7,-0.51%,+84.58%,"15:29 ET"
HIMX,"Himax Technologies ADR",12.32,0.14,+1.15%,3076921,12,-2.47%,+74.22%,"15:29 ET"
HIVE,"Hive Digital Technologies Ltd",2.93,0.09,+3.17%,12171274,8,-3.00%,+68.21%,"15:25 ET"
HLIT,"Harmonic Inc",12.27,0.38,+3.20%,1169561,6,-0.65%,+44.71%,"15:28 ET"
HNGE,"Hinge Health Inc Cl A",53.59,3.84,+7.72%,4011774,15,-5.16%,+75.90%,"15:29 ET"
HOG,"Harley-Davidson Inc",23.93,-1.18,-4.70%,2632669,12,-5.45%,+42.63%,"15:29 ET"
HOVR,"New Horizon Aircraft Ltd",2.69,0.41,+17.98%,3212311,8,-2.16%,+117.60%,"15:29 ET"
HPE,"Hewlett Packard Enterprise Comp",30.18,0.14,+0.47%,8221374,9,-0.33%,+52.17%,"15:29 ET"
HPP,"Hudson Pacific Properties",10.49,0.72,+7.37%,1261779,7,-2.33%,+99.24%,"15:28 ET"
HPQ,"HP Inc",21.37,0.22,+1.04%,13532615,5,-1.36%,+21.87%,"15:29 ET"
HR,"Healthcare Realty Trust Inc.",20.22,0.3,+1.51%,6056385,14,-0.71%,+21.79%,"15:29 ET"
HRTX,"Heron Therapeutics",1.315,0.085,+6.91%,3338188,4,-0.75%,+80.66%,"15:29 ET"
HST,"Host Marriott Financial Trust",21.79,0.48,+2.25%,7758163,10,-0.96%,+18.32%,"15:28 ET"
HUM,"Humana Inc",248.68,9.15,+3.82%,942778,10,-1.33%,+52.31%,"15:29 ET"
HUT,"Hut 8 Corp",107.81,27.3,+33.91%,17061998,14,-2.74%,+157.44%,"15:29 ET"
HWBK,"Hawthorn Bancshares",36.2,2.1,+6.16%,27431,5,-0.75%,+12.90%,"15:19 ET"
HY,"Hyster-Yale Inc",36.69,-3.26,-8.16%,95979,9,-7.93%,+30.13%,"15:26 ET"
HYLN,"Hyliion Hldg Corp Cl A",2.405,0.095,+4.11%,1210446,6,-0.21%,+46.65%,"15:29 ET"
IART,"Integra Lifesciences",13.95,0.73,+5.52%,1336731,9,-1.34%,+60.12%,"15:27 ET"
IBKR,"Interactive Brokers",87.1,3.19,+3.80%,2490040,7,-0.34%,+37.98%,"15:29 ET"
IBTA,"Ibotta Inc Cl A",36.62,-0.23,-0.62%,57721,17,-1.05%,+83.14%,"15:29 ET"
ICCC,"Immucell Corp",8.98,0.09,+1.01%,33743,11,-1.65%,+48.83%,"15:12 ET"
ICU,"Seastar Medical Hldg Corp",4.9197,0.4997,+11.31%,143942,11,-2.18%,+138.65%,"15:07 ET"
IDR,"Idaho Strategic Resources",48.33,4.42,+10.07%,255035,8,-2.91%,+86.20%,"15:28 ET"
IESC,"Ies Holdings",666.87,5.47,+0.83%,217115,16,-1.47%,+71.71%,"15:29 ET"
IFRX,"Fireman B.V.",2.51,0.54,+27.41%,16162332,26,-12.81%,+210.35%,"15:29 ET"
IMOS,"Chipmos Tech ADR",55.98,1.18,+2.15%,126279,10,-2.37%,+82.86%,"15:24 ET"
IMTX,"Immatics NV",11.5,0.55,+5.02%,548240,16,-1.44%,+25.99%,"15:21 ET"
INBK,"First Internet Bcp",25.18,-0.1,-0.40%,61462,10,-1.40%,+33.39%,"15:27 ET"
INDV,"Indivior Pharmaceuticals Inc",40.52,0.93,+2.35%,1445160,9,-0.25%,+45.56%,"15:28 ET"
INN,"Summit Hotel Properties",5.38,0.11,+2.09%,376225,14,-0.09%,+35.47%,"15:28 ET"
INTC,"Intel Corp",112.94,4.79,+4.43%,128923856,17,-1.13%,+176.20%,"15:29 ET"
